Date;Total_houses_sold;interestr;unit_tr;unit_ist;unit_ank;unit_izm;google_trends
1.01.2013;48281;9.78;1312.60;2063.80;1143.10;1327.10;21
1.02.2013;48998;9.58;1334.20;2113.70;1155.10;1345.80;21
1.03.2013;54904;9.31;1353.10;2157.50;1172.10;1363.60;27
1.04.2013;54148;9.06;1369.60;2186.30;1189.70;1383.80;34
1.05.2013;57212;8.77;1386.20;2217.80;1201.30;1397.90;29
1.06.2013;53079;8.30;1407.50;2262.90;1213.10;1415.00;19
1.07.2013;57412;8.91;1425.50;2299.80;1221.10;1427.30;23
1.08.2013;45663;9.78;1437.30;2319.50;1226.40;1446.90;32
1.09.2013;55502;10.73;1448.70;2346.00;1234.00;1457.50;33
1.10.2013;40981;10.93;1462.80;2393.50;1242.10;1465.30;21
1.11.2013;54426;10.62;1491.40;2474.10;1258.90;1485.20;21
1.12.2013;57455;10.61;1496.60;2481.10;1263.20;1498.10;22
1.01.2014;47484;11.30;1510.30;2464.10;1266.70;1555.20;30
1.02.2014;44523;13.03;1524.50;2488.80;1281.90;1576.60;34
1.03.2014;45634;13.51;1541.30;2519.10;1301.20;1600.30;26
1.04.2014;46055;13.52;1575.20;2600.40;1308.50;1613.10;21
1.05.2014;48921;12.94;1597.80;2647.90;1324.30;1626.70;26
1.06.2014;50316;12.29;1628.40;2721.20;1333.30;1651.20;28
1.07.2014;45728;11.46;1659.90;2792.80;1352.90;1680.10;31
1.08.2014;56796;11.06;1683.30;2851.40;1361.30;1695.30;28
1.09.2014;62747;10.91;1700.70;2892.00;1373.60;1708.40;28
1.10.2014;51146;10.75;1727.10;2965.80;1391.50;1711.60;34
1.11.2014;55655;10.91;1751.50;3027.10;1400.10;1732.20;36
1.12.2014;68822;11.01;1771.60;3080.50;1405.00;1753.50;26
1.01.2015;48196;11.01;1806.40;3196.20;1418.40;1763.30;24
1.02.2015;54359;10.80;1844.70;3289.30;1437.30;1794.90;34
1.03.2015;64543;10.82;1882.90;3362.00;1466.60;1829.50;43
1.04.2015;66719;10.97;1916.80;3429.90;1484.90;1860.70;29
1.05.2015;58887;11.49;1952.90;3502.90;1509.50;1893.70;23
1.06.2015;59455;11.87;1982.90;3543.90;1524.20;1939.70;26
1.07.2015;52966;12.28;2016.90;3618.90;1542.20;2003.40;34
1.08.2015;59245;12.59;2028.20;3614.60;1561.20;2024.60;32
1.09.2015;49150;13.57;2066.10;3750.20;1571.90;2029.70;24
1.10.2015;53534;14.30;2094.70;3823.60;1594.50;2013.00;27
1.11.2015;55032;14.13;2129.20;3920.00;1601.80;2036.20;32
1.12.2015;68567;14.01;2140.30;3926.10;1611.40;2055.20;33
1.01.2016;44479;14.27;2149.00;3907.60;1614.80;2051.60;33
1.02.2016;54294;14.45;2161.90;3923.90;1619.10;2076.90;32
1.03.2016;64831;14.45;2189.30;3981.20;1619.60;2125.30;37
1.04.2016;59440;14.33;2220.20;4054.00;1627.10;2165.90;37
1.05.2016;58757;13.96;2259.20;4124.20;1655.10;2219.10;40
1.06.2016;56833;13.84;2278.30;4150.50;1667.30;2228.90;28
1.07.2016;43514;13.67;2331.70;4290.00;1678.90;2274.30;26
1.08.2016;60967;12.86;2359.50;4362.20;1672.60;2288.90;36
1.09.2016;57946;12.09;2376.70;4391.80;1703.90;2312.20;37
1.10.2016;68597;12.12;2376.60;4348.80;1728.90;2356.00;39
1.11.2016;69188;11.69;2391.20;4363.60;1749.00;2374.00;37
1.12.2016;70921;11.42;2411.00;4392.10;1755.80;2419.30;31
1.01.2017;51154;11.45;2384.60;4384.60;1761.70;2473.60;33
1.02.2017;56253;11.38;2406.30;4414.10;1772.60;2530.00;47
1.03.2017;72547;11.06;2439.50;4487.30;1793.10;2544.40;37
1.04.2017;62458;11.28;2457.50;4510.30;1801.20;2572.90;33
1.05.2017;63582;11.55;2487.90;4559.40;1816.40;2599.40;32
1.06.2017;52146;11.72;2504.10;4556.60;1812.60;2660.60;33
1.07.2017;61920;12.02;2520.30;4575.10;1816.40;2688.40;45
1.08.2017;63700;12.49;2537.80;4585.00;1818.20;2748.90;38
1.09.2017;70279;12.87;2544.90;4569.90;1838.60;2765.20;35
1.10.2017;65888;13.05;2571.90;4626.10;1861.00;2798.80;32
1.11.2017;63378;13.12;2573.40;4602.30;1865.90;2825.50;37
1.12.2017;66311;13.52;2598.60;4663.90;1873.70;2833.90;34
1.01.2018;52656;14.14;2614.50;4763.50;1896.60;2899.20;32
1.02.2018;52240;14.68;2642.60;4815.00;1920.90;2942.70;32
1.03.2018;60204;14.79;2645.80;4772.20;1920.00;2988.00;30
1.04.2018;55553;14.83;2684.60;4815.70;1957.00;3035.40;28
1.05.2018;64153;13.88;2718.50;4840.20;1978.50;3073.60;31
1.06.2018;62349;13.10;2735.30;4837.70;2002.50;3120.30;30
1.07.2018;66261;16.86;2747.70;4834.90;2007.70;3148.30;33
1.08.2018;55792;18.99;2765.80;4882.60;2010.90;3205.30;29
1.09.2018;67108;25.18;2803.60;4988.90;2054.90;3192.00;31
1.10.2018;71721;28.95;2861.60;5123.40;2075.80;3292.90;26
1.11.2018;48805;28.63;2852.80;5058.50;2072.80;3246.90;22
1.12.2018;66984;27.82;2848.30;5086.30;2078.20;3209.40;23
1.01.2019;41889;26.22;2756.40;4900.20;2009.60;3038.30;25
1.02.2019;45802;22.98;2705.10;4701.70;2020.00;3009.90;28
1.03.2019;60883;18.16;2697.90;4654.60;2011.60;3038.30;30
1.04.2019;58287;17.70;2706.00;4632.10;2032.40;3045.80;25
1.05.2019;54691;20.45;2723.80;4668.70;2030.50;3101.60;21
1.06.2019;38090;21.81;2752.00;4675.50;2054.50;3088.50;33
1.07.2019;63305;21.06;2789.60;4690.60;2106.80;3187.90;30
1.08.2019;69904;14.15;2803.30;4698.00;2133.50;3234.60;43
1.09.2019;95510;12.98;2824.80;4747.20;2137.80;3252.40;43
1.10.2019;92629;13.12;2848.40;4809.30;2143.00;3282.30;43
1.11.2019;89463;12.96;2885.70;4895.80;2165.00;3302.30;37
1.12.2019;126594;12.69;2930.50;4938.30;2204.70;3384.30;37
1.01.2020;77575;11.88;2999.60;5056.40;2260.00;3426.50;54
1.02.2020;81450;11.43;3061.10;5134.80;2294.70;3500.70;44
1.03.2020;74581;11.40;3104.90;5223.20;2315.40;3511.50;33
1.04.2020;27935;11.72;3143.60;5255.40;2351.10;3545.10;34
1.05.2020;34076;11.23;3326.00;5417.20;2501.90;3858.70;60
1.06.2020;131380;9.30;3403.90;5529.50;2557.90;3989.30;100
1.07.2020;161420;9.11;3452.70;5602.40;2590.60;4049.10;70
1.08.2020;118285;11.09;3528.50;5758.90;2640.20;4120.40;59
1.09.2020;95368;14.16;3619.70;5979.40;2728.70;4186.10;46
1.10.2020;82598;15.07;3713.60;6192.90;2810.30;4254.70;44
1.11.2020;75825;15.68;3810.10;6377.90;2888.70;4356.20;39
1.12.2020;69083;18.19;3886.30;6481.30;2897.80;4501.70;34
1.01.2021;48319;18.39;3996.30;6261.20;2942.10;4761.30;40
1.02.2021;56485;17.99;4054.40;6312.20;2971.50;4911.40;39
1.03.2021;77876;17.74;4112.50;6363.20;3000.90;5061.50;37
