Date;Number of Visitors
2012 Q1;4219
2012 Q2;9323
2012 Q3;15437
2012 Q4;7484
2013 Q1;4774
2013 Q2;10268
2013 Q3;16058
2013 Q4;8127
2014 Q1;5066
2014 Q2;10967
2014 Q3;17084
2014 Q4;8298
2015 Q1;5345
2015 Q2;10751
2015 Q3;17409
2015 Q4;8113
2016 Q1;5108
2016 Q2;7495
2016 Q3;12063
2016 Q4;6699
2017 Q1;4845
2017 Q2;8863
2017 Q3;16663
2017 Q4;8249
2018 Q1;6122
2018 Q2;11068
2018 Q3;18787
2018 Q4;9652
2019 Q1;6644
2019 Q2;12762
2019 Q3;21612
2019 Q4;10841
2020 Q1;5639
2020 Q2;0
2020 Q3;5604
2020 Q4;4583
